Lien,Auteur,Date,Tweet
"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lapointejm,Sun Dec 10 17:28:18 +0000 2017,RT @agefen: L'ouverture de la nouvelle API de Gallica est un événement scientifique majeur pour le paysage des Humanités Numériques en Fran…
"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",AnthonyMasure,Sat Dec 09 14:41:21 +0000 2017,"Des contenus supplémentaires de mon essai ""Design et humanités numériques"" @EditionsB42 sont disponibles en libre a… https://t.co/hJ6x0lymlw"
"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Combrit29,Fri Dec 08 21:02:13 +0000 2017,"RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…"
"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",s_fredriksson,Fri Dec 08 12:41:09 +0000 2017,RT @entroispoints: Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et @Edit…
"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",AnthonyMasure,Fri Dec 08 11:38:37 +0000 2017,RT @entroispoints: Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et @Edit…
"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",entroispoints,Fri Dec 08 11:23:12 +0000 2017,Présentation du livre d’@AnthonyMasure Design et humanités numériques #DesignDH @letankparis avec @nicolasthely et… https://t.co/qe1gkwrFEO
"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SophieBertrnd,Fri Dec 08 10:56:14 +0000 2017,"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mshstoulouse,Fri Dec 08 10:12:25 +0000 2017,RT @urfistoulouse: Mise en ligne des vidéos de la captation de la 4e édition de la conférence annuelle sur les humanités numériques organis…
"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",rvrrr,Fri Dec 08 09:00:27 +0000 2017,"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LauraGuien,Thu Dec 07 23:36:26 +0000 2017,"RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…"
"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vhugonnard1,Thu Dec 07 21:10:39 +0000 2017,"RT @ISORE_SHS: #isore17 @lully1804
Experimenter les humanités numériques
Ouvrage en accès libre en ligne (modèle auteur / payeur)"
"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vhugonnard1,Thu Dec 07 21:06:24 +0000 2017,"RT @ISORE_SHS: #isore17 @lully1804
Experimenter les humanités numériques
Idée de combler un vide, donner une vision de la recherche en trai…"
"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vhugonnard1,Thu Dec 07 21:06:02 +0000 2017,"RT @ISORE_SHS: #isore17 
@lully1804 
Experimenter les humanités numériques
Cet ouvrage c est aussi une photographie de la recherche en trai…"
"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",EATempora,Thu Dec 07 20:35:12 +0000 2017,"RT @IHTP_CNRS: Guerre froide, sécurité nationale et Dirty War. Le retour du passé latino-américain à travers les « documents déclassifiés »…"
"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",amgoulet3,Thu Dec 07 20:13:50 +0000 2017,"RT @Ecoledeschartes: [Vidéo] (re)voir la journée d'étude sur les #humanités #numériques, organisée par l'@ademec_enc
https://t.co/XPMeeVuRM…"
